"","Description","Value","Replicate.Name","Retention.Time","Area","Area.with.QC","Precursor.Ion.Name","Background","Height","Mass.Error.PPM","all.Flags","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag"
"3614",NA,NA,"180205_Blk_MQBlk_1",6.87,0,NA,"Arsenobetaine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"3615",NA,NA,"180205_Blk_MQBlk_2",6.94,0,NA,"Arsenobetaine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"3616",NA,NA,"180205_Blk_MQBlk_3",7.06,0,NA,"Arsenobetaine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"3617",NA,NA,"180205_Blk_SWBlk_1",7.27,4863,4863,"Arsenobetaine",0,3324,-1.1,NA,NA,NA,NA,NA,NA,NA
"3618",NA,NA,"180205_Blk_SWBlk_2",7.09,0,NA,"Arsenobetaine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"3619",NA,NA,"180205_Blk_SWBlk_3",7.04,0,NA,"Arsenobetaine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"3620",NA,NA,"180205_Poo_Sept29QC_1",7.23,18271142,18271142,"Arsenobetaine",0,921182,-3,NA,NA,NA,NA,NA,NA,NA
"3621",NA,NA,"180205_Poo_Sept29QC_2",7.26,15557942,15557942,"Arsenobetaine",0,823981,-3.1,NA,NA,NA,NA,NA,NA,NA
"3622",NA,NA,"180205_Poo_Sept29QC_3",7.26,15409895,15409895,"Arsenobetaine",0,763126,-3.5,NA,NA,NA,NA,NA,NA,NA
"3623",NA,NA,"180205_Poo_Sept29QC_4",7.27,16357726,16357726,"Arsenobetaine",69355,812263,-3.5,NA,NA,NA,NA,NA,NA,NA
"3624",NA,NA,"180205_Poo_TruePoo_Full1",7.23,78275352,78275352,"Arsenobetaine",982781,4155622,-3,NA,NA,NA,NA,NA,NA,NA
"3625",NA,NA,"180205_Poo_TruePoo_Full2",7.27,77218408,77218408,"Arsenobetaine",0,3689018,-3.2,NA,NA,NA,NA,NA,NA,NA
"3626",NA,NA,"180205_Poo_TruePoo_Full3",7.23,78845512,78845512,"Arsenobetaine",904102,3824194,-3.8,NA,NA,NA,NA,NA,NA,NA
"3627",NA,NA,"180205_Poo_TruePoo_Half1",7.2,43951220,43951220,"Arsenobetaine",16745,2171661,-2.8,NA,NA,NA,NA,NA,NA,NA
"3628",NA,NA,"180205_Poo_TruePoo_Half2",7.23,38792288,38792288,"Arsenobetaine",348721,1849126,-3.2,NA,NA,NA,NA,NA,NA,NA
"3629",NA,NA,"180205_Poo_TruePoo_Half3",7.23,39650376,39650376,"Arsenobetaine",462844,1878046,-3.5,NA,NA,NA,NA,NA,NA,NA
"3630",NA,NA,"180205_Smp_L1C32DCMless10m_A",7.23,23315518,23315518,"Arsenobetaine",136913,1071623,-3.1,NA,NA,NA,NA,NA,NA,NA
"3631",NA,NA,"180205_Smp_L1C32DCMless10m_B",7.23,20614798,20614798,"Arsenobetaine",0,1044752,-3,NA,NA,NA,NA,NA,NA,NA
"3632",NA,NA,"180205_Smp_L1C32DCMless10m_C",7.21,23378014,23378014,"Arsenobetaine",0,1183241,-3.4,NA,NA,NA,NA,NA,NA,NA
"3633",NA,NA,"180205_Smp_L1C32DCMless20m_A",7.23,22043328,22043328,"Arsenobetaine",0,1063360,-3.1,NA,NA,NA,NA,NA,NA,NA
"3634",NA,NA,"180205_Smp_L1C32DCMless20m_B",7.23,31136716,31136716,"Arsenobetaine",0,1710418,-3.4,NA,NA,NA,NA,NA,NA,NA
"3635",NA,NA,"180205_Smp_L1C32DCMless20m_C",7.2,25536910,25536910,"Arsenobetaine",0,1229880,-3.5,NA,NA,NA,NA,NA,NA,NA
"3636",NA,NA,"180205_Smp_L1C33DCM_A",7.23,22658930,22658930,"Arsenobetaine",0,1114749,-3.2,NA,NA,NA,NA,NA,NA,NA
"3637",NA,NA,"180205_Smp_L1C33DCM_B",7.27,31224694,31224694,"Arsenobetaine",348514,1703009,-3,NA,NA,NA,NA,NA,NA,NA
"3638",NA,NA,"180205_Smp_L1C33DCM_C",7.24,19838020,19838020,"Arsenobetaine",8594,952105,-3.5,NA,NA,NA,NA,NA,NA,NA
"3639",NA,NA,"180205_Smp_L1C33DCMplus10m_A",7.24,34822408,34822408,"Arsenobetaine",141831,1774007,-3,NA,NA,NA,NA,NA,NA,NA
"3640",NA,NA,"180205_Smp_L1C33DCMplus10m_B",7.2,37079684,37079684,"Arsenobetaine",0,1883090,-3.2,NA,NA,NA,NA,NA,NA,NA
"3641",NA,NA,"180205_Smp_L1C33DCMplus10m_C",7.21,37970728,37970728,"Arsenobetaine",0,1797255,-3.4,NA,NA,NA,NA,NA,NA,NA
"3642",NA,NA,"180205_Smp_L1C33DCMplus20m_A",7.26,49233928,49233928,"Arsenobetaine",42192,2443580,-3,NA,NA,NA,NA,NA,NA,NA
"3643",NA,NA,"180205_Smp_L1C33DCMplus20m_B",7.21,52481380,52481380,"Arsenobetaine",659365,2746154,-3.2,NA,NA,NA,NA,NA,NA,NA
"3644",NA,NA,"180205_Smp_L1C33DCMplus20m_C",7.2,54350204,54350204,"Arsenobetaine",815295,2891698,-3.2,NA,NA,NA,NA,NA,NA,NA
"3645",NA,NA,"180205_Smp_L2C1DCMless10m_A",7.27,83588472,83588472,"Arsenobetaine",1175966,4281915,-3.1,NA,NA,NA,NA,NA,NA,NA
"3646",NA,NA,"180205_Smp_L2C1DCMless10m_B",7.26,88545928,88545928,"Arsenobetaine",1067299,4348769,-3,NA,NA,NA,NA,NA,NA,NA
"3647",NA,NA,"180205_Smp_L2C1DCMless10m_C",7.18,84198792,84198792,"Arsenobetaine",357691,4002115,-3.7,NA,NA,NA,NA,NA,NA,NA
"3648",NA,NA,"180205_Smp_L2C1DCMless20m_A",7.24,77536160,77536160,"Arsenobetaine",726780,3635248,-3,NA,NA,NA,NA,NA,NA,NA
"3649",NA,NA,"180205_Smp_L2C1DCMless20m_B",7.26,79867544,79867544,"Arsenobetaine",1005784,3698823,-3,NA,NA,NA,NA,NA,NA,NA
"3650",NA,NA,"180205_Smp_L2C1DCMless20m_C",7.24,61754148,61754148,"Arsenobetaine",476214,3027870,-3.6,NA,NA,NA,NA,NA,NA,NA
"3651",NA,NA,"180205_Smp_L2C2DCM_A",7.26,117321344,117321344,"Arsenobetaine",1283692,6368932,-3.6,NA,NA,NA,NA,NA,NA,NA
"3652",NA,NA,"180205_Smp_L2C2DCM_B",7.23,143518832,143518832,"Arsenobetaine",1944584,7666987,-3.3,NA,NA,NA,NA,NA,NA,NA
"3653",NA,NA,"180205_Smp_L2C2DCM_C",7.17,132726008,132726008,"Arsenobetaine",329354,6215634,-3.2,NA,NA,NA,NA,NA,NA,NA
"3654",NA,NA,"180205_Smp_L2C2DCMplus10m_A",7.21,170864064,170864064,"Arsenobetaine",2288430,8526493,-3,NA,NA,NA,NA,NA,NA,NA
"3655",NA,NA,"180205_Smp_L2C2DCMplus10m_B",7.23,167643104,167643104,"Arsenobetaine",2148229,8334068,-3,NA,NA,NA,NA,NA,NA,NA
"3656",NA,NA,"180205_Smp_L2C2DCMplus10m_C",7.21,174108800,174108800,"Arsenobetaine",1688289,8183904,-3.7,NA,NA,NA,NA,NA,NA,NA
"3657",NA,NA,"180205_Smp_L2C2DCMplus20m_A",7.24,178443616,178443616,"Arsenobetaine",2541839,9019532,-3.3,NA,NA,NA,NA,NA,NA,NA
"3658",NA,NA,"180205_Smp_L2C2DCMplus20m_B",7.23,173160096,173160096,"Arsenobetaine",1773369,8320483,-3.3,NA,NA,NA,NA,NA,NA,NA
"3659",NA,NA,"180205_Smp_L2C2DCMplus20m_C",7.2,143439680,143439680,"Arsenobetaine",1482158,6554930,-3.5,NA,NA,NA,NA,NA,NA,NA
"3660",NA,NA,"180205_Std_4uMStdsInH2O_1",8.24,140075,140075,"Hydroxyisoleucine",743625,16899,-4,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3661",NA,NA,"180205_Std_4uMStdsInH2O_2",8.31,141518,141518,"Hydroxyisoleucine",683281,11248,-4.1,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3662",NA,NA,"180205_Std_4uMStdsInMatrix_1",8.42,20910678,20910678,"Hydroxyisoleucine",439467,979193,-3.5,NA,NA,NA,NA,NA,NA,NA
"3663",NA,NA,"180205_Std_4uMStdsInMatrix_2",8.44,17261866,17261866,"Hydroxyisoleucine",1888999,774772,-4.4,NA,NA,NA,NA,NA,NA,NA
"3664",NA,NA,"180205_Blk_MQBlk_1",8.37,164266,164266,"Hydroxyisoleucine",976464,12538,-4.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3665",NA,NA,"180205_Blk_MQBlk_2",8.53,109272,109272,"Hydroxyisoleucine",657351,11796,-4.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3666",NA,NA,"180205_Blk_MQBlk_3",8.47,329742,329742,"Hydroxyisoleucine",632452,21033,-4.4,NA,NA,NA,NA,NA,NA,NA
"3667",NA,NA,"180205_Blk_SWBlk_1",8.44,746557,746557,"Hydroxyisoleucine",671581,44113,-4.1,NA,NA,NA,NA,NA,NA,NA
"3668",NA,NA,"180205_Blk_SWBlk_2",8.51,621819,621819,"Hydroxyisoleucine",757780,31367,-4,NA,NA,NA,NA,NA,NA,NA
"3669",NA,NA,"180205_Blk_SWBlk_3",8.45,940551,940551,"Hydroxyisoleucine",690761,33636,-4.6,NA,NA,NA,NA,NA,NA,NA
"3670",NA,NA,"180205_Poo_Sept29QC_1",8.46,81591032,81591032,"Hydroxyisoleucine",2879268,3292276,-3.6,NA,NA,NA,NA,NA,NA,NA
"3671",NA,NA,"180205_Poo_Sept29QC_2",8.47,70990152,70990152,"Hydroxyisoleucine",2046339,2832713,-3.7,NA,NA,NA,NA,NA,NA,NA
"3672",NA,NA,"180205_Poo_Sept29QC_3",8.44,74055144,74055144,"Hydroxyisoleucine",2258830,3017542,-4.5,NA,NA,NA,NA,NA,NA,NA
"3673",NA,NA,"180205_Poo_Sept29QC_4",8.49,73019888,73019888,"Hydroxyisoleucine",0,2773384,-4.3,NA,NA,NA,NA,NA,NA,NA
"3674",NA,NA,"180205_Poo_TruePoo_Full1",8.47,109894648,109894648,"Hydroxyisoleucine",3190801,5138283,-3.8,NA,NA,NA,NA,NA,NA,NA
"3675",NA,NA,"180205_Poo_TruePoo_Full2",8.5,103619040,103619040,"Hydroxyisoleucine",3290759,5025305,-4,NA,NA,NA,NA,NA,NA,NA
"3676",NA,NA,"180205_Poo_TruePoo_Full3",8.42,106855640,106855640,"Hydroxyisoleucine",3271045,4991009,-4.1,NA,NA,NA,NA,NA,NA,NA
"3677",NA,NA,"180205_Poo_TruePoo_Half1",8.47,58705084,58705084,"Hydroxyisoleucine",2731780,2897529,-3.8,NA,NA,NA,NA,NA,NA,NA
"3678",NA,NA,"180205_Poo_TruePoo_Half2",8.47,49790588,49790588,"Hydroxyisoleucine",2303868,2534310,-4,NA,NA,NA,NA,NA,NA,NA
"3679",NA,NA,"180205_Poo_TruePoo_Half3",8.44,51294956,51294956,"Hydroxyisoleucine",2110866,2382785,-4.1,NA,NA,NA,NA,NA,NA,NA
"3680",NA,NA,"180205_Smp_L1C32DCMless10m_A",8.46,127663472,127663472,"Hydroxyisoleucine",3256016,5932243,-3.9,NA,NA,NA,NA,NA,NA,NA
"3681",NA,NA,"180205_Smp_L1C32DCMless10m_B",8.45,118626744,118626744,"Hydroxyisoleucine",2780454,5570207,-3.9,NA,NA,NA,NA,NA,NA,NA
"3682",NA,NA,"180205_Smp_L1C32DCMless10m_C",8.44,131515696,131515696,"Hydroxyisoleucine",3377912,6559642,-4.3,NA,NA,NA,NA,NA,NA,NA
"3683",NA,NA,"180205_Smp_L1C32DCMless20m_A",8.5,122792464,122792464,"Hydroxyisoleucine",0,5576113,-3.9,NA,NA,NA,NA,NA,NA,NA
"3684",NA,NA,"180205_Smp_L1C32DCMless20m_B",8.51,154645024,154645024,"Hydroxyisoleucine",1715509,6789121,-4,NA,NA,NA,NA,NA,NA,NA
"3685",NA,NA,"180205_Smp_L1C32DCMless20m_C",8.42,166405152,166405152,"Hydroxyisoleucine",3409315,7686238,-4.3,NA,NA,NA,NA,NA,NA,NA
"3686",NA,NA,"180205_Smp_L1C33DCM_A",8.48,117763720,117763720,"Hydroxyisoleucine",2730921,5661608,-4.1,NA,NA,NA,NA,NA,NA,NA
"3687",NA,NA,"180205_Smp_L1C33DCM_B",8.49,152358048,152358048,"Hydroxyisoleucine",3112740,7096288,-3.9,NA,NA,NA,NA,NA,NA,NA
"3688",NA,NA,"180205_Smp_L1C33DCM_C",8.41,110993440,110993440,"Hydroxyisoleucine",3358692,5497405,-4.2,NA,NA,NA,NA,NA,NA,NA
"3689",NA,NA,"180205_Smp_L1C33DCMplus10m_A",8.49,101564168,101564168,"Hydroxyisoleucine",0,4773842,-4,NA,NA,NA,NA,NA,NA,NA
"3690",NA,NA,"180205_Smp_L1C33DCMplus10m_B",8.42,105745752,105745752,"Hydroxyisoleucine",2579993,5344109,-4.1,NA,NA,NA,NA,NA,NA,NA
"3691",NA,NA,"180205_Smp_L1C33DCMplus10m_C",8.44,116293184,116293184,"Hydroxyisoleucine",3421808,5583247,-4.4,NA,NA,NA,NA,NA,NA,NA
"3692",NA,NA,"180205_Smp_L1C33DCMplus20m_A",8.47,82484184,82484184,"Hydroxyisoleucine",458379,3920812,-3.8,NA,NA,NA,NA,NA,NA,NA
"3693",NA,NA,"180205_Smp_L1C33DCMplus20m_B",8.45,71508656,71508656,"Hydroxyisoleucine",2382754,3573105,-4,NA,NA,NA,NA,NA,NA,NA
"3694",NA,NA,"180205_Smp_L1C33DCMplus20m_C",8.42,84787584,84787584,"Hydroxyisoleucine",2380784,3885589,-4.3,NA,NA,NA,NA,NA,NA,NA
"3695",NA,NA,"180205_Smp_L2C1DCMless10m_A",8.48,105955664,105955664,"Hydroxyisoleucine",2412793,5284523,-4,NA,NA,NA,NA,NA,NA,NA
"3696",NA,NA,"180205_Smp_L2C1DCMless10m_B",8.44,120306064,120306064,"Hydroxyisoleucine",3461287,5755099,-4,NA,NA,NA,NA,NA,NA,NA
"3697",NA,NA,"180205_Smp_L2C1DCMless10m_C",8.44,117451368,117451368,"Hydroxyisoleucine",2924378,5545134,-4.3,NA,NA,NA,NA,NA,NA,NA
"3698",NA,NA,"180205_Smp_L2C1DCMless20m_A",8.47,123158512,123158512,"Hydroxyisoleucine",3745091,5962903,-3.8,NA,NA,NA,NA,NA,NA,NA
"3699",NA,NA,"180205_Smp_L2C1DCMless20m_B",8.45,113876432,113876432,"Hydroxyisoleucine",3229423,5532015,-3.9,NA,NA,NA,NA,NA,NA,NA
"3700",NA,NA,"180205_Smp_L2C1DCMless20m_C",8.42,92016832,92016832,"Hydroxyisoleucine",3317400,4538953,-4.5,NA,NA,NA,NA,NA,NA,NA
"3701",NA,NA,"180205_Smp_L2C2DCM_A",8.45,107970208,107970208,"Hydroxyisoleucine",1536533,4821311,-4.3,NA,NA,NA,NA,NA,NA,NA
"3702",NA,NA,"180205_Smp_L2C2DCM_B",8.45,131203816,131203816,"Hydroxyisoleucine",3524577,5829297,-4,NA,NA,NA,NA,NA,NA,NA
"3703",NA,NA,"180205_Smp_L2C2DCM_C",8.47,128344312,128344312,"Hydroxyisoleucine",3093425,5768047,-4.2,NA,NA,NA,NA,NA,NA,NA
"3704",NA,NA,"180205_Smp_L2C2DCMplus10m_A",8.46,104224240,104224240,"Hydroxyisoleucine",3406150,4850411,-3.8,NA,NA,NA,NA,NA,NA,NA
"3705",NA,NA,"180205_Smp_L2C2DCMplus10m_B",8.47,103184528,103184528,"Hydroxyisoleucine",3291938,4724990,-3.9,NA,NA,NA,NA,NA,NA,NA
"3706",NA,NA,"180205_Smp_L2C2DCMplus10m_C",8.41,108350424,108350424,"Hydroxyisoleucine",2980581,5037522,-4.6,NA,NA,NA,NA,NA,NA,NA
"3707",NA,NA,"180205_Smp_L2C2DCMplus20m_A",8.44,88158320,88158320,"Hydroxyisoleucine",2792108,4164431,-3.9,NA,NA,NA,NA,NA,NA,NA
"3708",NA,NA,"180205_Smp_L2C2DCMplus20m_B",8.45,82699576,82699576,"Hydroxyisoleucine",2531037,3788782,-3.9,NA,NA,NA,NA,NA,NA,NA
"3709",NA,NA,"180205_Smp_L2C2DCMplus20m_C",8.41,67807592,67807592,"Hydroxyisoleucine",2253975,3024933,-4.4,NA,NA,NA,NA,NA,NA,NA
"3710",NA,NA,"180205_Std_4uMStdsInH2O_1",3.48,3651856,3651856,"Deoxyadenosine",0,121055,-1.9,NA,NA,NA,NA,NA,NA,NA
"3711",NA,NA,"180205_Std_4uMStdsInH2O_2",3.42,3516827,3516827,"Deoxyadenosine",0,111801,-2.5,NA,NA,NA,NA,NA,NA,NA
"3712",NA,NA,"180205_Std_4uMStdsInMatrix_1",3.48,5877180,5877180,"Deoxyadenosine",0,190801,-2,NA,NA,NA,NA,NA,NA,NA
"3713",NA,NA,"180205_Std_4uMStdsInMatrix_2",3.43,5197471,5197471,"Deoxyadenosine",0,172212,-2.5,NA,NA,NA,NA,NA,NA,NA
"3714",NA,NA,"180205_Blk_MQBlk_1",3.43,37621,37621,"Deoxyadenosine",0,5680,-1.3,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3715",NA,NA,"180205_Blk_MQBlk_2",3.72,176172,176172,"Deoxyadenosine",42211,11211,-2.3,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3716",NA,NA,"180205_Blk_MQBlk_3",3.74,12788,12788,"Deoxyadenosine",71267,3463,-2.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3717",NA,NA,"180205_Blk_SWBlk_1",3.48,60004,60004,"Deoxyadenosine",0,7049,-1.3,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3718",NA,NA,"180205_Blk_SWBlk_2",3.46,1072502,1072502,"Deoxyadenosine",0,39244,-2.3,NA,NA,NA,NA,NA,NA,NA
"3719",NA,NA,"180205_Blk_SWBlk_3",3.42,220771,220771,"Deoxyadenosine",0,12170,-2.4,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3720",NA,NA,"180205_Poo_Sept29QC_1",3.47,4783490,4783490,"Deoxyadenosine",0,176715,-2.2,NA,NA,NA,NA,NA,NA,NA
"3721",NA,NA,"180205_Poo_Sept29QC_2",3.56,3594621,3594621,"Deoxyadenosine",0,128378,-2.3,NA,NA,NA,NA,NA,NA,NA
"3722",NA,NA,"180205_Poo_Sept29QC_3",3.54,3805841,3805841,"Deoxyadenosine",0,158398,-2.8,NA,NA,NA,NA,NA,NA,NA
"3723",NA,NA,"180205_Poo_Sept29QC_4",3.46,3681495,3681495,"Deoxyadenosine",0,142533,-2.4,NA,NA,NA,NA,NA,NA,NA
"3724",NA,NA,"180205_Poo_TruePoo_Full1",3.51,11351862,11351862,"Deoxyadenosine",0,392011,-2.2,NA,NA,NA,NA,NA,NA,NA
"3725",NA,NA,"180205_Poo_TruePoo_Full2",3.43,9318587,9318587,"Deoxyadenosine",14319,320570,-2.5,NA,NA,NA,NA,NA,NA,NA
"3726",NA,NA,"180205_Poo_TruePoo_Full3",3.43,11019935,11019935,"Deoxyadenosine",94467,402327,-2.8,NA,NA,NA,NA,NA,NA,NA
"3727",NA,NA,"180205_Poo_TruePoo_Half1",3.49,6009023,6009023,"Deoxyadenosine",0,190758,-2.2,NA,NA,NA,NA,NA,NA,NA
"3728",NA,NA,"180205_Poo_TruePoo_Half2",3.55,4478324,4478324,"Deoxyadenosine",0,131236,-2.2,NA,NA,NA,NA,NA,NA,NA
"3729",NA,NA,"180205_Poo_TruePoo_Half3",3.49,5535011,5535011,"Deoxyadenosine",0,169075,-2.4,NA,NA,NA,NA,NA,NA,NA
"3730",NA,NA,"180205_Smp_L1C32DCMless10m_A",3.54,5839942,5839942,"Deoxyadenosine",0,189695,-2.2,NA,NA,NA,NA,NA,NA,NA
"3731",NA,NA,"180205_Smp_L1C32DCMless10m_B",3.52,7310992,7310992,"Deoxyadenosine",48283,246109,-2.1,NA,NA,NA,NA,NA,NA,NA
"3732",NA,NA,"180205_Smp_L1C32DCMless10m_C",3.51,10555830,10555830,"Deoxyadenosine",0,341439,-2.5,NA,NA,NA,NA,NA,NA,NA
"3733",NA,NA,"180205_Smp_L1C32DCMless20m_A",3.46,8975138,8975138,"Deoxyadenosine",0,318462,-2.3,NA,NA,NA,NA,NA,NA,NA
"3734",NA,NA,"180205_Smp_L1C32DCMless20m_B",3.48,17289832,17289832,"Deoxyadenosine",1157,616495,-2.3,NA,NA,NA,NA,NA,NA,NA
"3735",NA,NA,"180205_Smp_L1C32DCMless20m_C",3.52,11393224,11393224,"Deoxyadenosine",0,402095,-2.5,NA,NA,NA,NA,NA,NA,NA
"3736",NA,NA,"180205_Smp_L1C33DCM_A",3.42,8395884,8395884,"Deoxyadenosine",0,309594,-2.5,NA,NA,NA,NA,NA,NA,NA
"3737",NA,NA,"180205_Smp_L1C33DCM_B",3.47,8893354,8893354,"Deoxyadenosine",0,310440,-2,NA,NA,NA,NA,NA,NA,NA
"3738",NA,NA,"180205_Smp_L1C33DCM_C",3.45,9760832,9760832,"Deoxyadenosine",0,340467,-2.6,NA,NA,NA,NA,NA,NA,NA
"3739",NA,NA,"180205_Smp_L1C33DCMplus10m_A",3.53,7844513,7844513,"Deoxyadenosine",0,270176,-2.3,NA,NA,NA,NA,NA,NA,NA
"3740",NA,NA,"180205_Smp_L1C33DCMplus10m_B",3.57,13189884,13189884,"Deoxyadenosine",0,438187,-2.1,NA,NA,NA,NA,NA,NA,NA
"3741",NA,NA,"180205_Smp_L1C33DCMplus10m_C",3.54,7179638,7179638,"Deoxyadenosine",0,243637,-2.5,NA,NA,NA,NA,NA,NA,NA
"3742",NA,NA,"180205_Smp_L1C33DCMplus20m_A",3.48,6052565,6052565,"Deoxyadenosine",0,222737,-2.5,NA,NA,NA,NA,NA,NA,NA
"3743",NA,NA,"180205_Smp_L1C33DCMplus20m_B",3.49,4703717,4703717,"Deoxyadenosine",0,156077,-2.5,NA,NA,NA,NA,NA,NA,NA
"3744",NA,NA,"180205_Smp_L1C33DCMplus20m_C",3.49,4560351,4560351,"Deoxyadenosine",0,139957,-2.5,NA,NA,NA,NA,NA,NA,NA
"3745",NA,NA,"180205_Smp_L2C1DCMless10m_A",3.54,11645984,11645984,"Deoxyadenosine",0,405467,-2.1,NA,NA,NA,NA,NA,NA,NA
"3746",NA,NA,"180205_Smp_L2C1DCMless10m_B",3.54,12169108,12169108,"Deoxyadenosine",150607,458278,-2,NA,NA,NA,NA,NA,NA,NA
"3747",NA,NA,"180205_Smp_L2C1DCMless10m_C",3.51,21213626,21213626,"Deoxyadenosine",0,731376,-2.8,NA,NA,NA,NA,NA,NA,NA
"3748",NA,NA,"180205_Smp_L2C1DCMless20m_A",3.48,17197960,17197960,"Deoxyadenosine",11336,680337,-2,NA,NA,NA,NA,NA,NA,NA
"3749",NA,NA,"180205_Smp_L2C1DCMless20m_B",3.49,52775368,52775368,"Deoxyadenosine",647304,1886820,-2.2,NA,NA,NA,NA,NA,NA,NA
"3750",NA,NA,"180205_Smp_L2C1DCMless20m_C",3.48,12215144,12215144,"Deoxyadenosine",0,410767,-2.6,NA,NA,NA,NA,NA,NA,NA
"3751",NA,NA,"180205_Smp_L2C2DCM_A",3.49,7864944,7864944,"Deoxyadenosine",0,299092,-2.7,NA,NA,NA,NA,NA,NA,NA
"3752",NA,NA,"180205_Smp_L2C2DCM_B",3.51,9362074,9362074,"Deoxyadenosine",0,337909,-2.3,NA,NA,NA,NA,NA,NA,NA
"3753",NA,NA,"180205_Smp_L2C2DCM_C",3.45,9746351,9746351,"Deoxyadenosine",0,326876,-2.3,NA,NA,NA,NA,NA,NA,NA
"3754",NA,NA,"180205_Smp_L2C2DCMplus10m_A",3.42,6888606,6888606,"Deoxyadenosine",0,245210,-2.1,NA,NA,NA,NA,NA,NA,NA
"3755",NA,NA,"180205_Smp_L2C2DCMplus10m_B",3.49,12424065,12424065,"Deoxyadenosine",103655,399395,-2.2,NA,NA,NA,NA,NA,NA,NA
"3756",NA,NA,"180205_Smp_L2C2DCMplus10m_C",3.51,7355865,7355865,"Deoxyadenosine",0,249196,-2.7,NA,NA,NA,NA,NA,NA,NA
"3757",NA,NA,"180205_Smp_L2C2DCMplus20m_A",3.47,7142775,7142775,"Deoxyadenosine",0,272999,-2.3,NA,NA,NA,NA,NA,NA,NA
"3758",NA,NA,"180205_Smp_L2C2DCMplus20m_B",3.48,6723932,6723932,"Deoxyadenosine",0,268818,-2.4,NA,NA,NA,NA,NA,NA,NA
"3759",NA,NA,"180205_Smp_L2C2DCMplus20m_C",3.45,5397455,5397455,"Deoxyadenosine",0,171866,-2.7,NA,NA,NA,NA,NA,NA,NA
"3760",NA,NA,"180205_Std_4uMStdsInH2O_1",11.31,439493,439493,"beta-Alanine",963329,129505,-0.2,NA,NA,NA,NA,NA,NA,NA
"3761",NA,NA,"180205_Std_4uMStdsInH2O_2",11.33,143110,143110,"beta-Alanine",826283,16508,-1,NA,NA,NA,NA,NA,NA,NA
"3762",NA,NA,"180205_Std_4uMStdsInMatrix_1",11.6,4494261,4494261,"beta-Alanine",1326238,307360,0.2,NA,NA,NA,NA,NA,NA,NA
"3763",NA,NA,"180205_Std_4uMStdsInMatrix_2",11.56,2092846,2092846,"beta-Alanine",726502,121635,-0.8,NA,NA,NA,NA,NA,NA,NA
"3764",NA,NA,"180205_Blk_MQBlk_1",11.37,59589,59589,"beta-Alanine",346633,11719,-0.3,NA,NA,NA,NA,NA,NA,NA
"3765",NA,NA,"180205_Blk_MQBlk_2",11.43,125352,125352,"beta-Alanine",187832,15450,-0.6,NA,NA,NA,NA,NA,NA,NA
"3766",NA,NA,"180205_Blk_MQBlk_3",11.42,71447,71447,"beta-Alanine",218191,13838,-0.7,NA,NA,NA,NA,NA,NA,NA
"3767",NA,NA,"180205_Blk_SWBlk_1",11.5,42326,42326,"beta-Alanine",252332,8693,-0.5,NA,NA,NA,NA,NA,NA,NA
"3768",NA,NA,"180205_Blk_SWBlk_2",11.24,35947,35947,"beta-Alanine",205325,6411,-0.3,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"3769",NA,NA,"180205_Blk_SWBlk_3",11.37,80915,80915,"beta-Alanine",418067,12177,-0.7,NA,NA,NA,NA,NA,NA,NA
"3770",NA,NA,"180205_Poo_Sept29QC_1",11.7,8786008,8786008,"beta-Alanine",1045889,451669,-0.4,NA,NA,NA,NA,NA,NA,NA
"3771",NA,NA,"180205_Poo_Sept29QC_2",11.69,4074958,4074958,"beta-Alanine",586658,191722,-0.2,NA,NA,NA,NA,NA,NA,NA
"3772",NA,NA,"180205_Poo_Sept29QC_3",11.66,4440918,4440918,"beta-Alanine",544949,232963,-0.9,NA,NA,NA,NA,NA,NA,NA
"3773",NA,NA,"180205_Poo_Sept29QC_4",11.71,3993923,3993923,"beta-Alanine",676069,189484,-0.5,NA,NA,NA,NA,NA,NA,NA
"3774",NA,NA,"180205_Poo_TruePoo_Full1",11.74,21379342,21379342,"beta-Alanine",1428525,1150535,-0.1,NA,NA,NA,NA,NA,NA,NA
